contest_number,image_description
566,"A man in a suit and top hat is sitting on what appears to be a pirate ship, petting a cat.  Two pirates are standing off to the side, speaking with each other and looking at the man with the cat"
186,Moses is holding up a tablet with Chinese characters on it. People are staring at him.
571,There is a huge anchor in a cafe. People are staring at it. A pirate is the cashier.
704,A man stands in front of an open elevator and there are two men inside. The two men inside the elevator are wearing suits and have large tuba instruments wrapped around their body. One of the two men wearing a tuba has glasses and the other has a worried look on his face.
542,Two old fashioned gentleman are staring at a woman outside. She has a huge frill around her neck.
230,Columns are shaped in numeral numbers. Two people drive near it on the road.
184,There are outlines of people all over the floor at the bar. A bartender yells at the man coming inside.
570,"Two men are sitting on a park bench. One has a book, and the other is covered in birds."
166,There are a couple of people lying down under the blankets in bed. Both of these people are covered in rags and resemble mummies.
599,Three cave people are inside of a cave. There is a lizard biting the ankle of one of the men.
683,A caveman couple walk by a tower to see people they recognize. The cavewoman waves at her friend who waves back. The men are expressionless about the encounter.
526,Two angels are standing on a cloud. They're having a conversation.
355,Two turkeys are standing facing each other in a coop. One turkey has fishnet stalkings and high heels on its legs and is talking to the other turkey.
539,Three men are hiking in the mountains. one man is walking down the cliff.
587,Three deer are looking at deer crossing signs. They appear to be confused about it.
447,A therapist is talking to a man on a therapy couch. Animals on therapy couches surround them.
572,Some people are around a pool. The pool is filled with a giant beachball.
618,"Three men with drinks in their hand are starting at a fireplace. There are three mounted trophy heads: a deer, a unicorn, and a bull head."
219,The room is cluttered with pianos. Two men walk in to see the sight.
519,"A hunter is out in the woods. A bird is sitting on top of his gun, and two other birds are watching from a distant branch."
530,There is a king leaning back in his throne who is listening to a scribe who stands in front of him. The scribe is reading from a piece of rolled parchment. Above the king hangs a giant sword which stretches across the entire width of the room.
556,Two people are in a kitchen. One of them is in a hazmat suit and cooking.
554,"A clown is staring into a large glass window into a store. The store is named Sam's.  There is a clerk at the counter looking at the clown. Based on the tap near the clerk, this place serves soda."
449,There is a man and a woman in a large living room. The woman has just entered and holds two shopping bags. The man is in a workers uniform and holds a bricklayer's trowl and is talking to the woman. Between them is a wall that the man is constructing which separates the room into two halves.
339,Superman is on the plane with regular citizens. There is a man sitting beside him and they give each other a glance.
58,A woman is reading and talking to a man while in bed with each having their own nightstand and lamp. The bedroom looks to be part of a cubicle setup similar to how some offices are designed.
739,A man is holding both a dog's hand and a child's hand while the child looks angry. The dog is wearing people's clothes.
213,A couple are in bed. The man is hammering a plaque. The woman looks angry.
593,A man calls someone on a corded telephone with a piece of paper knifed to his back. He is calm about what happened to him.
61,A doctor is sitting in his office and a giant arm is reaching in. The doctor is checking his pulse.
668,There is a maiden in a castle. A dragon is outside and is carrying flowers for her.
350,A man is lounging on a chair in his front yard with a woman in front of him. There is a bus in his driveway with his campaign advertisement on it.
631,"A large group of diverse people are sitting in the middle aisle seats of a plain. A blonde woman with a laptop on her lap is looking to her left at a man wearing a chef's hat and uniform, throwing pizza dough into the air."
515,"Two men are sitting lounging on furniture on railroad tracks behind a train. They are wearing cast on multiple limbs and look like they've been in a previous accident accident. One of them is taking notes and has a shocked expression looking toward the train, as though the train just went by. There is something between the tracks like a conveyor belt or a road."
501,Two sailors are on the boat. They are talking while raising flags.
718,There is a skinny cowboy standing next to a horse in a corral. The horse is wearing blue slippers on the front and pink slippers on the back legs. The horse appears to be talking to the cowboy.
581,A man is watching a hand coming through the clouds with a sweater. Man Is wearing a robe and holding on to two things close to his chest and has a worried look.
82,"Adam and Eve are running out of Eden, being chastised by the hand of God. The serpent is wrapped around a tree."
203,Men have captured a giant. The giant is in a wide net. There is a castle in the background.
